"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Empirical Study of Docker Vulnerabilities and of Static Code Analysis Applicability","A. Duarte; N. Antunes","CISUC, University of Coimbra, Coimbra, Portugal; CISUC, University of Coimbra, Coimbra, Portugal",2018 Eighth Latin-American Symposium on Dependable Computing (LADC),"21 Mar 2019","2018","","","27","36","Containers are a lighter solution to traditional virtualization, avoiding the overhead of starting and configuring the virtual machines. Docker is very popular due to its portability, ease of deployment and configuration. However, the security problems that it may have are still not completely understood. This paper aims at understanding Docker security vulnerabilities and what could have been done to avoid them. For this, we performed a detailed analysis of the security reports and respective vulnerabilities, systematizing them according to causes, effects, and consequences. Then, we analyzed the applicability of static code analyzers in Docker codebase, trying to understand, in hindsight, the usefulness of tools reports. For a deeper understanding, we analyzed concrete exploits for some vulnerabilities. The results show a prevalence of bypass and gain privileges, and that the used tools are rather ineffective, not helping to identify the analyzed vulnerabilities. We also observed that some vulnerabilities would be easy to find using robustness or penetration testing, while others would be really challenging.","","978-1-5386-8489-4","10.1109/LADC.2018.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8671641","Containers;software vulnerabilities;security;static code analysis","Security;Containers;Tools;Kernel;Virtualization;Cloud computing","","21","","19","IEEE","21 Mar 2019","8-10 Oct. 2018","8-10 Oct. 2018","IEEE","IEEE Conferences"
"Robbery on DevOps: Understanding and Mitigating Illicit Cryptomining on Continuous Integration Service Platforms","Z. Li; W. Liu; H. Chen; X. Wang; X. Liao; L. Xing; M. Zha; H. Jin; D. Zou","School of Cyber Science and Engineering, Huazhong Univ. of Sci. & Tech, China; Indiana University Bloomington, USA; Indiana University Bloomington, USA; Indiana University Bloomington, USA; Indiana University Bloomington, USA; Indiana University Bloomington, USA; Indiana University Bloomington, USA; School of Computer Science and Technology, Huazhong Univ. of Sci. & Tech, China; School of Cyber Science and Engineering, Huazhong Univ. of Sci. & Tech, China",2022 IEEE Symposium on Security and Privacy (SP),"27 Jul 2022","2022","","","2397","2412","The recent wave of in-browser cryptojacking has ebbed away, due to the new updates of mainstream cryptocurrrencies, which demand the level of mining resources browsers cannot afford. As replacements, resource-rich, loosely protected free Internet services, such as Continuous Integration (CI) platforms, have become attractive targets. In this paper, we report a systematic study on real-world illicit cryptomining on public CI platforms (called Cijacking). Unlike in-browser cryptojacking, Cijacks masquerade as CI jobs and are therefore more difficult to detect, since legitimate CI workflows such as container image building and testing also entail intensive computing. In our research, we leveraged the critical mining information the adversary has to specify, such as wallet addresses and mining pool domains, to recover the attack traces from GitHub repositories and the log files on CI platforms, leading to the discovery of 1,974 Cijacking instances, 30 campaigns across 12 different cryptocurrencies on 11 mainstream CI platforms. Further, our study unveils the evolution of attack strategies, in response to the protection put in place by the platforms, the duration of the mining jobs (as long as 33 months), and their lifecycle. Further discovered is the revenue of the attack, over ${\$}$20,000 per month. Since robust detection of cryptojacking is known to be hard, we developed a novel technique, called Cijitter, to strategically inject delays to the execution of a CI workflow to disproportionally penalize the mining jobs that need to work on a series of tasks under time constraints. Our analysis and evaluation, as conducted on both benchmarks and common CI jobs, show that our approach substantially suppresses the miner’s revenues, rendering them unprofitable, but only has small impacts on the performance of CI jobs and developer productivity (94.3% of CI jobs see a less than 10% delay).","2375-1207","978-1-6654-1316-9","10.1109/SP46214.2022.9833803","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833803","","Productivity;Systematics;Web and internet services;Rendering (computer graphics);Delays;Data mining;Time factors","","12","","69","IEEE","27 Jul 2022","22-26 May 2022","22-26 May 2022","IEEE","IEEE Conferences"
"Analysis and Comparison of Dockerized and Standalone Apache Spark Configurations for Efficient Distributed Data Processing","A. P. Ndigande; I. Ari; S. Ozer","Department of Computer Science, Ozyegin University, Istanbul, Turkiye; Department of Computer Science, Ozyegin University, Istanbul, Turkiye; Department of Electrical and Computer Engineering, California State Polytechnic University, Pomona, Pomona, USA",2024 Innovations in Intelligent Systems and Applications Conference (ASYU),"28 Nov 2024","2024","","","1","5","Apache Spark, a powerful distributed computing framework, has become a key to handling large-scale data processing tasks in many applications, including signal processing. However, there are different considerations for performance, cost, or ease of use during the development and deployment stages. This paper benchmarks Apache Spark on different local setups in terms of performance and elaborates on alternative cloud computing costs. Performances of different Spark master-slave configurations with Docker and no Docker are evaluated over different numbers of worker nodes, cores, memory, and executors. Spark Word Count benchmark is tested on Wikipedia datasets of sizes ranging from 1GB to 25GB. The results reveal that in local setups Docker creates additional parameter complexity as well as performance overheads, therefore a “no Docker” setup is a better choice. We also observe the dominance of I/O bottlenecks in local setups. These results can help practitioners choose optimal setups for different Development and Operations (DevOps) and big data processing scenarios.","2770-7946","979-8-3503-7943-3","10.1109/ASYU62119.2024.10757047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10757047","Apache Spark;Docker;WordCount;Executor;RDD;HDFS;Cloud;Distributed System","Technological innovation;Costs;Scalability;Cluster computing;Production;Benchmark testing;Big Data;Signal processing;Data processing;Sparks","","2","","29","IEEE","28 Nov 2024","16-18 Oct. 2024","16-18 Oct. 2024","IEEE","IEEE Conferences"
"How do Developers Talk About GitHub Actions? Evidence from Online Software Development Community","Y. Zhang; Y. Wu; T. Chen; T. Wang; H. Liu; H. Wang","National University of Defense Technology, Changsha, China; National University of Defense Technology, Changsha, China; National University of Defense Technology, Changsha, China; National University of Defense Technology, Changsha, China; National University of Defense Technology, Changsha, China; National University of Defense Technology, Changsha, China",2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE),"14 Jun 2024","2024","","","492","504","Continuous integration, deployment and delivery (CI/CD) have become cornerstones of DevOps practices. In recent years, GitHub Action (GHA) has rapidly replaced the traditional CI/CD tools on GitHub, providing efficiently automated workflows for developers. With the widespread use and influence of GHA, it is critical to understand the existing problems that GHA developers face in their practices as well as the potential solutions to these problems. Unfortunately, we currently have relatively little knowledge in this area. To fill this gap, we conduct a large-scale empirical study of 6,590 Stack Overflow (SO) questions and 315 GitHub issues. Our study leads to the first comprehensive taxonomy of problems related to GHA, covering 4 categories and 16 sub-categories. Then, we analyze the popularity and difficulty of problem categories and their correlations. Further, we summarize 56 solution strategies for different GHA problems. We also distill practical implications of our findings from the perspective of different audiences. We believe that our study contributes to the research of emerging GHA practices and guides the future support of tools and technologies.","1558-1225","979-8-4007-0217-4","10.1145/3597503.3623327","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10549737","GitHub Actions;Empirical Study;Stack Overflow","DevOps;Correlation;Accuracy;Taxonomy;Manuals;Labeling;Faces","","5","","58","","14 Jun 2024","14-20 April 2024","14-20 April 2024","IEEE","IEEE Conferences"
"CloudBot: Autonomous End-to-End Cloud Deployment from Code to Infrastructure","O. Ódùnsī; A. Mohan; S. Al Mahmud Mostafa; J. Wang","Department of Information Systems, University of Maryland, Baltimore, MD, USA; Department of Computer Science, McMurry University, Abilene, TX, USA; Department of Information Systems, University of Maryland, Baltimore, MD, USA; Department of Information Systems, University of Maryland, Baltimore, MD, USA",2025 IEEE International Conference on Big Data (BigData),"6 Mar 2026","2025","","","6972","6981","While cloud platforms offer extensive services for running and scaling applications, automatically deploying code from GitHub repositories to cloud infrastructure remains a manual, error-prone process requiring specialized expertise. Current DevOps tools and Infrastructure-as-Code (IaC) frameworks rely on fixed templates and cannot adapt to diverse application requirements automatically. We propose CloudBot, a toolkit that automates the complete deployment workflow by integrating code analysis, IaC generation, and infrastructure provisioning into a unified pipeline. CloudBot employs a pipeline where specialized components, GitHub Analyst, Cloud Architect, and Cloud Engineer, work sequentially to extract requirements, design infrastructure, and generate validated Terraform templates. The toolkit uses large language models enhanced with retrieval-augmented generation to map application needs to infrastructure specifications. We evaluate CloudBot with AWS cloud across three use cases: text processing, image analysis, and video processing. CloudBot achieves consistent deployment success, with all configurations deploying and executing correctly. Comparing generated infrastructure against expert-written baselines reveals similarity scores of $\text{1 8}-\text{4 3} \%$ across syntax, semantic, and functional dimensions. While generated configurations successfully deploy, they tend toward over-provisioning compared to minimal expert specifications. As the first end-to-end automated deployment system, CloudBot demonstrates LLM-based infrastructure automation feasibility while establishing quantitative baselines for measuring future improvements toward expert-level generation quality.","2573-2978","979-8-3315-9447-3","10.1109/BigData66926.2025.11402281","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11402281","Cloud Infrastructure Automation;Infrastructure as Code (IaC);Large Language Models (LLM);Retrieval-Augmented Generation (RAG);Multi-Agent;Cloud Computing;GitHub Code Analysis","Cloud computing;Codes;Automation;Image analysis;Large language models;Current measurement;Pipelines;Retrieval augmented generation;Videos;Text processing","","","","26","IEEE","6 Mar 2026","8-11 Dec. 2025","8-11 Dec. 2025","IEEE","IEEE Conferences"
"iAnalysis V1.0: An Interactive Analysis Service System","Z. Meng; X. Wang; L. Ma; Y. Zhou","Computer Network Information Center, Chinese Academy of Sciences, Beijing, China; Computer Network Information Center, Chinese Academy of Sciences, Beijing, China; Computer Network Information Center, Chinese Academy of Sciences, Beijing, China; Computer Network Information Center, Chinese Academy of Sciences, Beijing, China",2021 IEEE 13th International Conference on Computer Research and Development (ICCRD),"29 Mar 2021","2021","","","109","114","With the development of scientific big data technology, problem-oriented analysis becomes normal case. iAnalysis V1.0, an interactive analysis cloud service system, gives a unified cloud resource management service for scientific data analysis. It can not only be used directly by end-user scientists through the service portal, but also be called by other existing data systems in the form of docker container. In this paper, there are presented the key technical methods of iAnalysis V1.0, including the interactive analysis service solution based on container technology, the interactive analysis components and storage & high-performance computing services for interactive analysis. There are also introduced the specific application services of iAnalysis V1.0 such as lightweight deployment service, management and monitoring services, external application programming interface services and so on. Some applications of iAnalysis V1.0 are also presented. The basic deployment images of iAnalysis V1.0 can be download from https://hub.docker.com/repository/docker/bioinf/ianalysis.","","978-1-6654-2260-4","10.1109/ICCRD51685.2021.9386710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9386710","interactive analysis;container instance;interactive component;iAnalysis","Data analysis;Roads;Containers;Programming;Resource management;Monitoring;Research and development","","","","19","IEEE","29 Mar 2021","5-7 Jan. 2021","5-7 Jan. 2021","IEEE","IEEE Conferences"
"Analyzing News Clustering with K-Means Algorithm: A Segmentation Perspective","F. Hamami; I. A. Dahlan","School of Industrial and System Engineering, Telkom University, Bandung, Indonesia; Military Engineering Faculty, Indonesia Defense University, Bogor, Indonesia",2024 4th International Conference on Electronic and Electrical Engineering and Intelligent System (ICE3IS),"11 Dec 2024","2024","","","42","46","Online news platform is a service that many people rely to access daily information. In Indonesia, people generally access well-known news platforms such as Kompas, Vivanews, CCN Indonesia, Jawa Pos. The information provided is focused on many things including national news, sports, accidents, criminal and many others. Many people feel that an overload of information can lead to boredom when reading the news. During a busy schedule, having concise access to information becomes crucial. Keyword and topic extraction become important when the information provided is very abundant. Segmentation of articles based on news content can provide insight into what topics are often presented on news portal. This research proposes the creation of a news segmentation system encapsulated in a container. People can easily access online news trends without having to browse through every news item provided by news portals. The K-means algorithm, combined with the Elbow Method, is used to segment online news by identifying similarities in content. The segmentation results from the Kompas.com news portal change daily, causing the number of clusters to vary. This hot topic is then visualized in a web application and can be accessed publicly.","","979-8-3503-7836-8","10.1109/ICE3IS62977.2024.10775603","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10775603","online news;topic extraction;clustering;segmentation;K-Means","Electrical engineering;Visualization;Schedules;Clustering algorithms;Web pages;Market research;Intelligent systems;Elbow;Portals;Sports","","2","","17","IEEE","11 Dec 2024","7-8 Aug. 2024","7-8 Aug. 2024","IEEE","IEEE Conferences"
"Demo abstract: Towards IoT service deployments on edge community network microclouds","A. M. Khan; F. Freitag; V. Vlassov; P. H. Ha","Hitachi Vantara Corporation, Lisbon, Portugal; Department of Computer Architecture, Universitat Politécnica de Catalunya., Barcelona, Spain; KTH Royal Institute of Technology., Stockholm, Sweden; Department of Computer Science, UiT The Arctic University of Norway., Tromsø, Norway",IEEE INFOCOM 2018 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),"9 Jul 2018","2018","","","1","2","Internet of Things (IoT) services for personal devices and smart homes provided by commercial solutions are typically proprietary and closed. These services provide little control to the end users, for instance to take ownership of their data and enabling services, which hinders these solutions' wider acceptance. In this demo paper, we argue for an approach to deploy professional IoT services on user-controlled infrastructure at the network edge. The users would benefit from the ability to choose the most suitable service from different IoT service offerings, like the one which satisfies their privacy requirements, and third-party service providers could offer more tailored IoT services at customer premises. We conduct the demonstration on microclouds, which have been built with the Cloudy platform in the Guifi.net community network. The demonstration is conducted from the perspective of end users, who wish to deploy professional IoT data management and analytics services in volunteer microclouds.","","978-1-5386-5979-3","10.1109/INFCOMW.2018.8406840","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406840","edge cloud computing;community clouds","Cloud computing;Servers;Internet of Things;Edge computing;Containers;Open source software;Conferences","","","","8","IEEE","9 Jul 2018","15-19 April 2018","15-19 April 2018","IEEE","IEEE Conferences"
"BugSwarm: Mining and Continuously Growing a Dataset of Reproducible Failures and Fixes","D. A. Tomassi; N. Dmeiri; Y. Wang; A. Bhowmick; Y. -C. Liu; P. T. Devanbu; B. Vasilescu; C. Rubio-González","University of California, Davis; University of California, Davis; University of California, Davis; University of California, Davis; University of California, Davis; University of California, Davis; Carnegie Mellon University; University of California, Davis",2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE),"26 Aug 2019","2019","","","339","349","Fault-detection, localization, and repair methods are vital to software quality; but it is difficult to evaluate their generality, applicability, and current effectiveness. Large, diverse, realistic datasets of durably-reproducible faults and fixes are vital to good experimental evaluation of approaches to software quality, but they are difficult and expensive to assemble and keep current. Modern continuous-integration (CI) approaches, like TRAVIS-CI, which are widely used, fully configurable, and executed within custom-built containers, promise a path toward much larger defect datasets. If we can identify and archive failing and subsequent passing runs, the containers will provide a substantial assurance of durable future reproducibility of build and test. Several obstacles, however, must be overcome to make this a practical reality. We describe BUGSWARM, a toolset that navigates these obstacles to enable the creation of a scalable, diverse, realistic, continuously growing set of durably reproducible failing and passing versions of real-world, open-source systems. The BUGSWARM toolkit has already gathered 3,091 fail-pass pairs, in Java and Python, all packaged within fully reproducible containers. Furthermore, the toolkit can be run periodically to detect fail-pass activities, thus growing the dataset continually.","1558-1225","978-1-7281-0869-8","10.1109/ICSE.2019.00048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8812141","Bug Database;Reproducibility;Software Testing;Program Analysis;Experiment Infrastructure","Tools;Software maintenance;Libraries;Open source software;Software quality;Java;Python","","69","","32","IEEE","26 Aug 2019","25-31 May 2019","25-31 May 2019","IEEE","IEEE Conferences"
"DIVE: Make Online Learning Diversified, Interactive, Versatile, and Engaging","C. Chan; A. Kozhin; Q. Liang; G. Salter; R. Tang; C. Ye; C. Zhao","Department of Computer Science, City University of Hong Kong, Hong Kong SAR; Department of Computer Science, City University of Hong Kong, Hong Kong SAR; Department of Computer Science, City University of Hong Kong, Hong Kong SAR; Department of Computer Science, City University of Hong Kong, Hong Kong SAR; Department of Computer Science, City University of Hong Kong, Hong Kong SAR; Department of Computer Science, City University of Hong Kong, Hong Kong SAR; Department of Computer Science, City University of Hong Kong, Hong Kong SAR","2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)","14 Jun 2023","2022","","","482","489","As university courses move online due to the pandemic, resources for face-to-face teaching become ineffective or unusable. Especially for computer science courses requiring a complicated setup, students may not be able to access the computer labs nor receive immediate guidance. To help students dive into a discovery-enriched curriculum without getting lost, we successfully developed effective courseware for various online courses and workshops to provide a diversified, interactive, versatile, and engaging (DIVE) virtual learning environment. By integrating and enhancing tools such as interactive notebook, docker, and git, students can easily reproduce the environment in a web browser, share GPU resources, interact with the lecture materials, submit lab assignments for auto-grading, collaborate on group projects with proper version control, and receive instant automated feedback as well as detailed guidance from instructors.","2470-6698","978-1-6654-9117-4","10.1109/TALE54877.2022.00085","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10148306","","Courseware;Computer science;Electronic learning;Pandemics;Conferences;Education;Graphics processing units","","1","","43","IEEE","14 Jun 2023","4-7 Dec. 2022","4-7 Dec. 2022","IEEE","IEEE Conferences"
